9/13/22,69
9/15/22,20
9/16/22,20
10/27/22,5
11/5/22,42
12/7/22,15
1/5/23,5
1/6/23,5
1/7/23,5
1/8/23,5
1/9/23,11
1/18/23,7
1/31/23,7
2/1/23,17
2/7/23,16
2/9/23,3
2/9/23,16
2/9/25,16
2/25/23,9
3/22/23,7
4/5/23,4
4/11/23,20
4/27/23,31
8/1/23,11
8/28/23,4
8/30/23,31
8/31/23,31
9/6/23,14
9/7/23,7
9/8/23,6
9/11/23,47
10/18/23,12
11/6/23,716
11/7/23,716
11/8/23,716
11/9/23,716
11/10/23,716
11/11/23,800
11/14/23,17
11/20/23,3
12/7/23,32
5-Jan,10
6-Jan,10
7-Jan,10
8-Jan,10
1/13/24,18
1/16/24,6
1/18/24,16
1/19/24,16
1/24/24,11
1/31/24,19
2/6/24,6
2/16/24,6
2/22/24,7
2/29/24,3
3/5/24,6
3/9/24,34
3/21/24,0
4/2/24,16
4/10/24,24
4/23/24,38
8/14/24,37
8/15/24,37
22-Aug,27
8/23/24,4
8/27/24,5
9/4/24,18
9/9/24,69
9/10/24,11
9/10/24,12
9/11/24,87
9/18/24,14
9/24/24,5
9/27/24,4
10/9/24,11
10/14/24,3
10/16/24,3
10/17/24,5
11/2/24,371
11/6/24,5
11/6/24,1006
11/7/24,1006
11/8/24,1006
11/9/24,1006
11/10/24,1006
11/11/24,1006
12/3/24,8
12/5/24,19
12/6/24,5
1/15/25,9
1/21/25,6
1/23/25,6
1/28/25,2
1/29/25,4
2/4/25,0
